country,fifa_version,num_players,avg_overall,max_overall,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic,avg_attack_overall,avg_defense_overall
Albania,24,14,74.5,78,71.0,56.916666666666664,63.25,69.66666666666667,61.083333333333336,71.08333333333333,74.75,74.4
Algeria,24,14,77.35714285714286,86,71.0,67.5,74.14285714285714,78.0,61.785714285714285,70.14285714285714,78.57142857142857,77.0
Andorra,24,1,66.0,66,,,,,,,66.0,66.0
Angola,24,14,70.28571428571429,78,76.78571428571429,61.357142857142854,60.92857142857143,69.92857142857143,50.42857142857143,69.35714285714286,70.77777777777777,69.25
Antigua and Barbuda,24,3,63.333333333333336,67,81.0,47.0,56.5,61.5,59.0,71.5,65.0,63.333333333333336
Argentina,24,14,84.14285714285714,90,73.61538461538461,71.23076923076923,77.6923076923077,79.84615384615384,68.07692307692308,76.38461538461539,85.0,83.11111111111111
Armenia,24,12,67.66666666666667,81,73.5,57.583333333333336,61.25,67.66666666666667,45.416666666666664,63.083333333333336,69.125,64.33333333333333
Australia,24,14,72.85714285714286,78,71.07692307692308,60.15384615384615,62.92307692307692,67.6923076923077,60.76923076923077,75.6923076923077,71.75,72.83333333333333
Austria,24,14,79.64285714285714,85,71.92857142857143,63.357142857142854,71.0,72.71428571428571,64.57142857142857,75.35714285714286,78.71428571428571,80.5
Azerbaijan,24,6,65.83333333333333,71,71.4,57.4,50.8,63.0,35.0,63.8,65.0,70.5
Belarus,24,4,64.0,66,68.33333333333333,58.666666666666664,56.333333333333336,64.0,34.0,64.0,64.0,64.0
Belgium,24,14,82.64285714285714,91,69.4,75.6,78.2,78.3,57.5,71.4,83.83333333333333,82.0
Benin,24,10,67.5,73,64.8,51.2,56.5,62.0,58.3,74.2,67.75,66.57142857142857
Bermuda,24,1,69.0,69,77.0,68.0,64.0,69.0,44.0,62.0,69.0,69.0
Bolivia,24,14,68.64285714285714,74,68.83333333333333,56.416666666666664,60.333333333333336,65.0,51.166666666666664,62.75,68.6,69.14285714285714
Bosnia and Herzegovina,24,14,75.71428571428571,83,69.08333333333333,63.916666666666664,69.83333333333333,70.41666666666667,61.083333333333336,73.91666666666667,77.33333333333333,74.88888888888889
Brazil,24,14,86.14285714285714,89,81.58333333333333,69.25,74.41666666666667,79.66666666666667,62.5,75.75,85.83333333333333,86.375
Bulgaria,24,14,67.85714285714286,76,68.57142857142857,54.5,60.0,64.0,53.92857142857143,64.35714285714286,68.14285714285714,67.375
Burkina Faso,24,14,70.5,81,75.46153846153847,54.53846153846154,60.07692307692308,68.0,51.23076923076923,66.38461538461539,71.2,70.85714285714286
Burundi,24,2,68.5,75,69.0,51.5,58.5,65.5,68.0,75.0,68.5,68.5
Cameroon,24,14,77.07142857142857,85,70.15384615384616,62.61538461538461,64.07692307692308,71.15384615384616,53.30769230769231,76.0,76.28571428571429,77.85714285714286
Canada,24,14,73.92857142857143,83,73.0,61.666666666666664,65.58333333333333,69.91666666666667,59.25,75.08333333333333,75.33333333333333,73.54545454545455
Cape Verde,24,14,72.07142857142857,75,75.0,64.42857142857143,62.857142857142854,70.0,43.5,70.35714285714286,72.14285714285714,70.33333333333333
Central African Republic,24,8,65.75,81,70.5,59.5,53.5,63.666666666666664,41.833333333333336,64.66666666666667,65.33333333333333,68.25
Chad,24,1,68.0,68,73.0,68.0,47.0,65.0,31.0,74.0,68.0,68.0
Chile,24,14,74.78571428571429,81,70.0909090909091,58.18181818181818,66.0,68.72727272727273,62.63636363636363,74.63636363636364,74.75,74.54545454545455
China,24,14,71.07142857142857,76,79.25,61.25,63.75,68.5,49.166666666666664,73.5,71.5,70.66666666666667
Taiwan,24,3,64.33333333333333,70,71.66666666666667,50.0,54.666666666666664,64.0,56.0,64.33333333333333,61.5,61.0
Colombia,24,14,78.42857142857143,84,77.0,68.0,68.84615384615384,75.23076923076923,58.15384615384615,72.76923076923077,79.0,77.875
Comoros,24,12,66.25,74,76.36363636363636,55.81818181818182,60.09090909090909,67.36363636363636,51.45454545454545,62.18181818181818,67.28571428571429,64.71428571428571
Congo,24,14,65.28571428571429,72,72.42857142857143,56.714285714285715,56.0,64.07142857142857,45.714285714285715,67.64285714285714,64.125,65.8
Costa Rica,24,14,70.07142857142857,85,69.46153846153847,54.38461538461539,56.30769230769231,64.0,47.0,64.07692307692308,68.0,73.33333333333333
Croatia,24,14,80.57142857142857,87,69.38461538461539,66.3076923076923,76.38461538461539,78.6923076923077,69.0,73.92307692307692,79.5,80.33333333333333
Cuba,24,4,67.5,71,66.0,59.0,62.666666666666664,68.66666666666667,52.0,65.0,67.5,67.0
Curaçao,24,12,66.66666666666667,72,73.36363636363636,53.45454545454545,56.0,64.27272727272727,51.18181818181818,71.18181818181819,67.0,66.5
Cyprus,24,14,66.57142857142857,71,66.91666666666667,51.916666666666664,56.5,62.833333333333336,49.5,64.75,66.4,66.66666666666667
Czech Republic,24,14,77.21428571428571,83,72.72727272727273,71.0909090909091,71.36363636363636,75.27272727272727,59.63636363636363,77.81818181818181,78.0,76.77777777777777
DR Congo,24,14,74.0,80,78.21428571428571,62.57142857142857,66.42857142857143,73.14285714285714,58.214285714285715,71.92857142857143,74.71428571428571,73.55555555555556
Denmark,24,14,79.5,84,67.41666666666667,62.333333333333336,71.83333333333333,72.83333333333333,69.33333333333333,75.41666666666667,77.0,80.18181818181819
Dominican Republic,24,6,61.0,73,66.75,44.5,52.75,59.0,54.0,65.0,68.0,58.6
Ecuador,24,14,75.42857142857143,80,75.2,55.9,68.7,73.2,64.9,71.0,75.66666666666667,75.36363636363636
Egypt,24,13,70.84615384615384,89,67.61538461538461,61.38461538461539,62.69230769230769,69.15384615384616,48.61538461538461,67.23076923076923,69.11111111111111,74.75
El Salvador,24,4,64.0,67,62.0,56.333333333333336,53.0,61.333333333333336,46.0,67.66666666666667,67.0,63.0
England,24,14,85.28571428571429,90,77.0,72.07692307692308,80.07692307692308,81.61538461538461,68.53846153846153,74.84615384615384,85.625,84.71428571428571
Equatorial Guinea,24,7,69.42857142857143,75,70.33333333333333,53.166666666666664,61.833333333333336,66.5,65.33333333333333,69.16666666666667,69.42857142857143,69.0
Estonia,24,7,62.42857142857143,70,64.66666666666667,49.333333333333336,54.833333333333336,57.666666666666664,56.333333333333336,66.0,58.0,63.8
Ethiopia,24,1,66.0,66,72.0,42.0,65.0,65.0,58.0,58.0,66.0,66.0
Faroe Islands,24,3,57.333333333333336,63,64.66666666666667,50.333333333333336,51.0,58.0,43.0,54.666666666666664,57.333333333333336,59.0
Fiji,24,1,68.0,68,88.0,67.0,64.0,70.0,46.0,79.0,68.0,68.0
Finland,24,14,72.5,81,66.33333333333333,64.41666666666667,65.91666666666667,70.66666666666667,55.75,70.0,72.0,72.71428571428571
France,24,14,86.14285714285714,91,84.92307692307692,73.07692307692308,77.0,83.23076923076923,58.23076923076923,72.53846153846153,87.5,85.33333333333333
Gabon,24,14,68.92857142857143,80,72.07142857142857,58.785714285714285,60.92857142857143,66.92857142857143,51.07142857142857,65.14285714285714,69.0,68.22222222222223
Gambia,24,14,69.85714285714286,77,78.42857142857143,59.42857142857143,60.785714285714285,68.57142857142857,46.785714285714285,65.64285714285714,70.25,69.0
Georgia,24,14,73.0,86,69.76923076923077,59.69230769230769,62.92307692307692,67.53846153846153,50.84615384615385,68.3076923076923,73.25,72.66666666666667
Germany,24,14,85.57142857142857,89,71.45454545454545,74.36363636363636,80.54545454545455,80.81818181818181,67.0,73.72727272727273,84.6,86.11111111111111
Ghana,24,14,77.14285714285714,85,78.28571428571429,59.357142857142854,65.78571428571429,72.78571428571429,59.642857142857146,74.14285714285714,76.5,77.625
Gibraltar,24,2,58.0,58,65.0,44.5,46.5,54.5,42.5,63.0,58.0,58.0
Greece,24,14,75.64285714285714,81,74.0,64.91666666666667,66.08333333333333,71.25,58.916666666666664,74.75,75.5,75.75
